,prices
2031,1836
2032,1840
2033,1843
2034,1847
2035,1845
2036,1845
2037,1854
2038,1859
2039,1854
2040,1850
2041,1845
2042,1873
2043,1873
2044,1877
2045,1878
2046,1877
2047,1877
2048,1877
2049,1867
2050,1868
2051,1846
2052,1841
2053,1847
2054,1852
2055,1858
2056,1872
2057,1860
2058,1872
2059,1866
2060,1863
2061,1860
2062,1857
2063,1865
2064,1852
2065,1849
2066,1857
2067,1862
2068,1867
2069,1872
2070,1885
2071,1890
2072,1888
2073,1865
2074,1858
2075,1851
2076,1845
2077,1851
2078,1872
2079,1833
2080,1815
2081,1820
2082,1825
2083,1830
2084,1842
2085,1862
2086,1864
2087,1866
2088,1868
2089,1870
2090,1871
2091,1879
2092,1875
2093,1878
2094,1863
2095,1865
2096,1867
2097,1869
2098,1878
2099,1883
2100,1883
2101,1881
2102,1882
2103,1883
2104,1884
2105,1867
2106,1878
2107,1875
2108,1878
2109,1884
2110,1890
2111,1896
2112,1897
2113,1888
2114,1870
2115,1877
2116,1880
2117,1882
2118,1885
2119,1872
2120,1888
2121,1892
2122,1900
2123,1903
2124,1906
2125,1909
2126,1911
2127,1909
2128,1920
2129,1923
2130,1924
2131,1924
2132,1924
2133,1924
2134,1927
2135,1940
2136,1949
2137,1950
2138,1950
2139,1951
2140,1950
2141,1943
2142,1930
2143,1936
2144,1936
2145,1937
2146,1937
2147,1941
2148,1956
2149,1959
2150,1962
2151,1962
2152,1962
2153,1962
2154,1949
2155,1959
2156,1957
2157,1960
2158,1960
2159,1960
2160,1960
2161,1973
2162,1974
2163,1985
2164,1983
2165,1981
2166,1979
2167,1977
2168,1963
2169,1972
2170,1964
2171,1967
2172,1970
2173,1973
2174,1977
2175,1973
2176,1981
2177,1958
2178,1978
2179,1976
2180,1975
2181,1973
2182,1983
2183,1987
2184,1987
2185,1978
2186,1978
2187,1978
2188,1978
2189,1969
2190,1970
2191,1930
2192,1925
2193,1929
2194,1934
2195,1938
2196,1920
2197,1920
2198,1909
2199,1931
2200,1933
2201,1935
2202,1936
2203,1933
2204,1946
2205,1955
2206,1955
2207,1960
2208,1966
2209,1971
2210,1981
2211,1986
2212,1992
2213,1988
2214,1991
2215,1994
2216,1997
2217,2000
2218,2000
2219,1996
2220,2003
2221,2003
2222,2002
2223,2002
2224,2002
2225,2000
2226,1997
2227,2007
2228,2005
2229,2003
2230,2001
2231,1988
2232,1995
2233,1997
2234,1985
2235,1985
2236,1984
2237,1984
2238,1998
2239,2001
2240,2011
2241,2010
2242,2005
2243,1999
2244,1994
2245,1982
2246,1998
2247,1965
2248,1982
2249,1981
2250,1979
2251,1977
2252,1972
2253,1946
2254,1946
2255,1967
2256,1966
2257,1965
2258,1964
2259,1935
2260,1968
2261,1928
2262,1906
2263,1895
2264,1885
2265,1874
2266,1877
2267,1862
2268,1862
2269,1886
2270,1892
2271,1898
2272,1904
2273,1941
2274,1927
2275,1950
2276,1964
2277,1963
2278,1962
2279,1961
2280,1985
2281,1982
2282,1994
2283,2018
2284,2017
2285,2017
2286,2017
2287,2012
2288,2023
2289,2031
2290,2031
2291,2034
2292,2036
2293,2038
2294,2039
2295,2038
2296,2039
2297,2039
2298,2040
2299,2040
2300,2041
2301,2051
2302,2048
2303,2052
2304,2063
2305,2065
2306,2067
2307,2069
2308,2067
2309,2072
2310,2070
2311,2067
2312,2062
2313,2058
2314,2053
2315,2066
2316,2074
2317,2071
2318,2075
2319,2070
2320,2065
2321,2060
2322,2059
2323,2026
2324,2035
2325,2002
2326,1998
2327,1993
2328,1989
2329,1972
2330,2012
2331,2061
2332,2070
2333,2073
2334,2075
2335,2078
2336,2082
2337,2081
2338,2085
2339,2088
2340,2089
2341,2089
2342,2090
2343,2080
2344,2058
2345,2058
2346,2058
2347,2045
2348,2033
2349,2020
2350,2002
2351,2025
2352,2062
2353,2044
2354,2039
2355,2033
2356,2028
2357,2023
2358,2011
2359,1992
2360,2019
2361,2020
2362,2020
2363,2021
2364,2022
2365,2032
2366,2063
2367,2051
2368,2053
2369,2055
2370,2057
2371,2029
2372,2002
2373,2021
2374,1994
2375,2003
2376,2012
2377,2020
2378,2050
2379,2041
2380,2062
2381,2055
2382,2052
2383,2049
2384,2046
2385,2068
2386,2068
2387,2088
2388,2096
2389,2097
2390,2098
2391,2099
2392,2100
2393,2099
2394,2097
2395,2110
2396,2110
2397,2109
2398,2109
2399,2115
2400,2113
2401,2110
2402,2104
2403,2108
2404,2113
2405,2117
2406,2107
2407,2098
2408,2101
2409,2071
2410,2073
2411,2076
2412,2079
2413,2044
2414,2040
2415,2065
2416,2053
2417,2062
2418,2071
2419,2081
2420,2074
2421,2099
2422,2089
2423,2108
2424,2106
2425,2105
2426,2104
2427,2091
2428,2061
2429,2056
2430,2061
2431,2069
2432,2077
2433,2086
2434,2067
2435,2059
2436,2066
2437,2070
2438,2073
2439,2077
2440,2080
2441,2076
2442,2081
2443,2091
2444,2102
2445,2098
2446,2095
2447,2092
2448,2095
2449,2106
2450,2104
2451,2081
2452,2087
2453,2093
2454,2100
2455,2097
2456,2107
2457,2112
2458,2117
2459,2114
2460,2111
2461,2108
2462,2114
2463,2106
2464,2085
2465,2108
2466,2110
2467,2112
2468,2114
2469,2089
2470,2080
2471,2088
2472,2116
2473,2112
2474,2108
2475,2105
2476,2099
2477,2098
2478,2121
2479,2122
2480,2124
2481,2127
2482,2129
2483,2127
2484,2125
2485,2130
2486,2126
2487,2120
2488,2115
2489,2109
2490,2104
2491,2123
2492,2120
2493,2107
2494,2108
2495,2110
2496,2111
2497,2109
2498,2114
2499,2095
2500,2092
2501,2088
2502,2083
2503,2079
2504,2080
2505,2105
2506,2108
2507,2094
2508,2090
2509,2087
2510,2084
2511,2096
2512,2100
2513,2121
2514,2109
2515,2114
2516,2118
2517,2122
2518,2124
2519,2108
2520,2102
2521,2101
2522,2086
2523,2072
2524,2057
2525,2063
2526,2077
2527,2076
2528,2074
2529,2072
2530,2070
2531,2068
2532,2081
2533,2046
2534,2051
2535,2076
2536,2084
2537,2091
2538,2099
2539,2108
2540,2107
2541,2124
2542,2126
2543,2127
2544,2127
2545,2128
2546,2119
2547,2114
